key,authors,year,title,venue,identifier,evidence_tier,relevance,documented_in,local_files,notes
ev-microgrid-double-auction,,,,,DOI: 10.1007/s40866-023-00178-x,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,EV microgrid double-auction comparison; DOI only
eva-stackelberg2023,,2023,An Optimized Decision Model for Electric Vehicle Aggregator Participation in the Electricity Market Based on the Stackelberg Game,Sustainability 15(20):15127,DOI: 10.3390/su152015127,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors not captured
evsp-capacitated-charging,,,Electric Vehicle Scheduling in Public Transit with Capacitated Charging Stations,Transportation Science,DOI: 10.1287/trsc.2022.0253,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors and year not captured
fang2022,"Xichen Fang, Hongye Guo, Xian Zhang, Xuanyuan Wang, and Qixin Chen",2022,An efficient and incentive-compatible market design for energy storage participation,Applied Energy 311,10.1016/j.apenergy.2022.118731,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md,525.pdf;S030626192200188X.html,kills storage VCG plus Nash-bargaining settlement claim
fanzeres2020,"Fanzeres, Street, Pozo",c. 2020-2021,column-and-constraint generation for Nash equilibria in pool-based electricity markets,,,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,identifier unverified; exact citation to verify
farzin2016,"Farzin, H., Fotuhi-Firuzabad, M., Moeini-Aghtaie, M.",2016,A Practical Scheme to Involve Degradation Cost of Lithium-Ion Batteries in Vehicle-to-Grid Applications,IEEE Trans. Sustainable Energy 7(4):1730–1738,DOI: 10.1109/tste.2016.2558500,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,seen via citation trail
feedback-pricing-dr,,,,arXiv,arXiv:2603.15983,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,stochastic feedback-pricing DR; named by identifier
fei2023,"Fei, F., Sun, W., Iacobucci, R., Schmöcker, J.-D.",2023,Exploring the profitability of using electric bus fleets for transport and power grid services,"Transportation Research Part C 149, art. 104060",,abstract-level,core-threat,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,identifier unverified; DOI not directly observed
ferc2011,FERC,2011,FERC Order 745,,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,regulatory order
fischetti2017,"Fischetti, Ljubić, Monaci, Sinnl",2017,A new general-purpose algorithm for mixed-integer bilevel linear programs,Operations Research 65(6),,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,intersection-cut branch-and-cut for MIBLP
fleet-mef-v2g2023,,2023,Reducing Marginal Emissions of an Electric Vehicle Fleet through Smart Charging and Vehicle-to-grid,IEEE ISGT Europe 2023,DOI: 10.1109/isgteurope56780.2023.10407696,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
frangioni2002,"Frangioni, A.",2002,Generalized Bundle Methods,SIAM Journal on Optimization 13(1):117–156,10.1137/s1052623498342186,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,bundle methods foundation
frangioni2013,"Frangioni, A. & Gendron, B.",2013,A Stabilized Structured Dantzig-Wolfe Decomposition Method,Mathematical Programming,DOI: 10.1007/s10107-012-0626-8,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,
gan2013,"Gan, L., Topcu, U. & Low, S.H.",2013,Optimal Decentralized Protocol for Electric Vehicle Charging,IEEE Transactions on Power Systems,10.1109/TPWRS.2012.2210288,abstract-level,core-threat,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,,oscillation/damping canon; title not given
gan2020,"Gan, Shahidehpour et al.",2020,Coordinated Planning of Transportation and Electric Power Networks...,,DOI: 10.1109/tsg.2020.2989751,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,title truncated in source
generatingeuphemiabids2026,,2026,Generating EUPHEMIA-compatible bids for flexible demand under imperfect information,,arXiv:2606.24183,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,2026 follow-up in block-bid novelty threat
gerad-g-2024-28,,,,GERAD,G-2024-28,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,B&P EVSP plus charger location; identifier only
gerbaux2025,"Gerbaux, Desaulniers, Cappart",2025,A machine-learning-based column generation heuristic for electric bus scheduling,,10.1016/j.cor.2024.106848,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,ML-accelerated column generation for electric buses
gerding2011,"Gerding, E. H., Robu, V., Stein, S., Parkes, D. C., Rogers, A., & Jennings, N. R.",2011,Online mechanism design for electric vehicle charging,AAMAS 2011,DOI: 10.5555/2031678.2031733,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,private availability-window types
gomory1960,"Gomory, R.E. & Baumol, W.J.",1960,Integer Programming and Pricing,Econometrica 28(3),DOI: 10.2307/1910130,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,first IP shadow prices
gonzalezvaya2015,"González Vayá, M., & Andersson, G.",2015,Optimal Bidding Strategy of a Plug-In Electric Vehicle Aggregator in Day-Ahead Electricity Markets Under Uncertainty,IEEE Transactions on Power Systems,10.1109/TPWRS.2014.2363159,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;BIDDING_GAMES_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,Optimal_Bidding_Strategy_of_a_Plug-In_Electric_Vehicle_Aggregator_in_Day-Ahead_Electricity_Markets_Under_Uncertainty.pdf,kills price-maker EV aggregator bilevel MPEC claim
gop2p2022,Energy Systems TCP GO-P2P Annex,2022,"Peer-to-Peer, Community Self-Consumption and Transactive Energy: A Systematic Literature Review of Local Energy Market Models",userstcp.org,userstcp.org PDF,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,systematic review of 139 papers
graph-benders-etrucks2026,,2026,"A Graph-Benders Decomposition for Integrated Electric Trucks Routing, Cargo Loading, and V2G Scheduling",IEEE TITS,DOI: 10.1109/tits.2026.3707595,abstract-level,core-threat,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,nearest exact-framework competitor; authors not captured
gribik2007,"Gribik, P.R., Hogan, W.W. & Pope, S.L.",2007,Market-Clearing Electricity Prices and Energy Uplift,working paper (lmpmarketdesign.com),,institutional/grey,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,working paper; pricing-under-indivisibility spine
gridawarecharging2026,,2026,Grid-Aware Charging and Operational Optimization for Mixed-Fleet Public Transit,,arXiv:2601.08753,abstract-level,domain-context,EXTERNAL_DEEP_DIVE_20260814.md,,operations only; exogenous prices; Chattanooga
hammerstrom2008,"Hammerstrom, D.J., et al.",2008,Pacific Northwest GridWise Testbed Demonstration Projects; Part I. Olympic Peninsula Project,Pacific Northwest National Laboratory,PNNL-17167; companion DOI: 10.1109/PES.2008.4596723,institutional/grey,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,Olympic Peninsula demo; companion Chassin paper merged
hardt2022,"Hardt, M., Jagadeesan, M., & Mendler-Dünner, C.",2022,Performative Power,NeurIPS 2022,,abstract-level,core-threat,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,gates B11
hardt2023,"Hardt, M., & Mendler-Dünner, C.",2023,Performative Prediction: Past and Future,arXiv,arXiv:2310.16608,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,survey
he2021,"He, G., Michalek, J., Kar, S., Chen, Q., Zhang, D., Whitacre, J.F.",2021,Utility-Scale Portable Energy Storage Systems,Joule 5(2),10.1016/j.joule.2020.12.005,abstract-level,domain-context,READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,mobile-energy economics for B24
hirshleifer1957,Hirshleifer,1957,Economics of the Divisionalized Firm,,DOI: 10.1086/294136,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,transfer pricing origins
hogan2010,"Hogan, W.",2010,Demand Response Pricing in Organized Wholesale Markets,IRC comments,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,grey literature; Order-745 debate
holland2008,"Holland, S. P., & Mansur, E. T.",2008,Is Real-Time Pricing Green? The Environmental Impacts of Electricity Demand Variance,Review of Economics and Statistics 90(3):550–561,NBER WP 13508,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; no DOI observed
hua2017,"Hua, B. & Baldick, R.",2017,A Convex Primal Formulation for Convex Hull Pricing,IEEE Trans. Power Systems,DOI: 10.1109/tpwrs.2016.2637718,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,
huang2010,"Huang, M.",2010,Large-Population LQG Games Involving a Major Player: The Nash Certainty Equivalence Principle,SIAM J. Control and Optimization 48(5):3318–3353,DOI: 10.1137/080735370,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,founding major-minor MFG paper
huang2022,"Huang, D., Wang, S.",2022,A two-stage stochastic programming model of coordinated electric bus charging scheduling for a hybrid charging scheme,"Multimodal Transportation 1(1), art. 100006",DOI: 10.1016/j.multra.2022.100006,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
hubner2026,"Hubner, Hug",2026,"Package Bids in Combinatorial Electricity Auctions: Selection, Welfare Losses, and Alternatives",,10.1287/opre.2024.0777,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md;EXTERNAL_DEEP_DIVE_20260814.md,,package/XOR bid language foundation
ieso2022,IESO,2022,Transmission–Distribution Coordination WG materials,,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,loosely named grey materials
ifpen-smart-charging,,,,IFP Energies HAL working paper,hal-03898558,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,fleet load moves prices; identifier only
igdt-pv-storage2026,,2026,Day-Ahead Optimal Scheduling for Electric Bus PV-Storage Charging Station Under Uncertainty: An IGDT-Based Approach,Batteries 12(5):167,DOI: 10.3390/batteries12050167,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
improved-lr-uc,,,,,DOI: 10.24084/repqj05.202,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,improved LR-UC; named by DOI only
improvingdirections2025,,2025,Improving Directions in Mixed Integer Bilevel Linear Optimization,,arXiv:2511.03566,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,improving-direction unification implemented in MibS
integer-bilevel-jota,,,,,DOI: 10.1007/s10957-023-02166-8,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,integer-bilevel algorithmics; named by DOI only
integrated-smart-charging-framework2025,,2025,"An Integrated Optimization Framework for Smart Charging of Electric Bus Fleets under Dynamic Electricity Prices with On-Site Solar Generation, Energy Storage, and V2G operations",arXiv,DOI: 10.48550/arxiv.2509.05940; Research Square DOI: 10.21203/rs.3.rs-8884872/v1,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,Brussels depot benchmark; authors not captured
intraday-major-player,,,Price formation and optimal trading in intraday electricity markets with a major player,arXiv,arXiv:2011.07655,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
ip-pricing-revisited,,,Integer programming and pricing revisited,IMA J. Management Mathematics 8(3):203–,DOI: 10.1093/imaman/8.3.203,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors and year not captured
island-microgrid-desalination2021,,2021,Multi-Objective Dispatching Optimization of an Island Microgrid Integrated with Desalination Units and Electric Vehicles,Processes 9(5):798,mdpi.com/2227-9717/9/5/798,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
italian-oligopsony2014,,2014,Measuring Oligopsony Market Power in the Italian Electricity Market: Preliminary Results,International Advances in Economic Research,DOI: 10.1007/s11294-014-9478-8,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured; empirical markdowns
jiang2026,"Jiang, Z., Nie, X., & Skoulakis, S.",2026,The Welfare Gap of Strategic Storage: Universal Bounds and Price Non-Linearity,arXiv,arXiv:2602.19660,abstract-level,core-threat,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,gates B8
joint-eb-charger-scheduling,,,A Joint Scheduling Framework for Electric Bus Fleets and Charging Infrastructure in Urban Transit Systems,Systems 14(3):235,DOI: 10.3390/systems14030235,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,LR inside transit; authors and year not captured
kang2025,"Kang, M., Min, D., Lee, B., Lee, Y.",2025,Optimization of Electric Bus Charging and Discharging Schedules with Vehicle-to-Grid Technology,Transactions of the Korean Institute of Electrical Engineers 74(5),DOI: 10.5370/kiee.2025.74.5.761,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
karaca2020,"Karaca, Kamgarpour",2020,Core-Selecting Mechanisms in Electricity Markets,,10.1109/TSG.2019.2958710,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,core-selecting payment mechanism foundation
karaduman2021,"Karaduman, Ö.",2021,Economics of Grid-Scale Energy Storage in Wholesale Electricity Markets,MIT CEEPR Working Paper 2021-005,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,grey; author name from series listing
karasavvidis2021,"Karasavvidis, Papadaskalopoulos, Strbac",2021,Optimal Offering of a Power Producer in Electricity Markets With Profile and Linked Block Orders,IEEE TPWRS,10.1109/TPWRS.2021.3129084,abstract-level,domain-context,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,profile and linked block orders
karasavvidis2024,"Karasavvidis, Papadaskalopoulos, Strbac",2024,Optimal Bidding of Flexible Demand in Electricity Markets With Block Orders,"IEEE Trans. Energy Markets, Policy and Regulation",10.1109/TEMPR.2024.3414988,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,kills exclusive-group flexible-demand bidding claim; gates Direction B
kazempour2015,"Kazempour, S. J., Conejo, A. J., & Ruiz, C.",2015,Strategic Bidding for a Large Consumer,IEEE Transactions on Power Systems 30(2):848–856,10.1109/tpwrs.2014.2332540,abstract-level,core-threat,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,monopsony baseline for B8/B9; title not given
kelley-optimal-variant,,,An optimal variant of Kelley's cutting-plane method,arXiv,arXiv:1409.2636,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors not captured
kim1970,"Kim, C.",1970,Decomposition of Planning Systems,Decision Sciences,DOI: 10.1111/j.1540-5915.1970.tb00790.x,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,decomposition as planning protocol
kim2012,"Kim, S. et al.",2012,Evaluation of Two Lagrangian Dual Optimization Algorithms for Large-Scale Unit Commitment Problems,J. Electrical Engineering & Technology 7(1),DOI: 10.5370/jeet.2012.7.1.17,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,author list not fully captured
kizil2025,"Kızıl, Ünsal, et al.",2025,Optimal V2G Scheduling of Electric Buses to Mitigate Grid Constraints and Absorb PV Surplus Power,APPEEC 2025,DOI: 10.1109/appeec66370.2025.11382080,abstract-level,core-threat,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,attribution per IEEE page
klein2023,"Klein, P.S., Schiffer, M.",2023,Electric Vehicle Charge Scheduling with Flexible Service Operations,Transportation Science,10.1287/trsc.2022.0272,abstract-level,core-threat,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,degradation-aware labeling baseline for B25
kleinert2021,"Kleinert, Labbé, Ljubić, Schmidt",2021,A survey on mixed-integer programming techniques in bilevel optimization,EURO J. Comput. Optim.,10.1016/j.ejco.2021.100007,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,standard MIBLP survey
kornai1965,"Kornai, J. & Lipták, T.",1965,Two-Level Planning,Econometrica,DOI: 10.2307/1911892,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,quantity-directed planning dual
kuehnbach2021,"Kühnbach, M., Stute, J., & Klingler, A.-L.",2021,Impacts of avalanche effects of price-optimized electric vehicle charging — Does demand response make it worse?,Energy Strategy Reviews,10.1016/j.esr.2020.100608,abstract-level,core-threat,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,avalanche effects; title not given
kumarshubik,Kumar & Shubik,,,Santa Fe Institute working paper,SFI WP 01-12-074,institutional/grey,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,title not captured; adjustment-mechanism stability
laafb-v2g-demo,,,Los Angeles Air Force Base Vehicle-to-Grid Demonstration,LBNL final report,DOI: 10.2172/2274679,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,military V2G demonstration report
lai2021,"Lai, K., Zhang, L.",2021,Sizing and Siting of Energy Storage Systems in a Military-Based Vehicle-to-Grid Microgrid,IEEE Trans. Industry Applications 57(3):1909–1919,DOI: 10.1109/tia.2021.3057339,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,
lam2024,"Lam, M.",2024/2025,The Electric Vehicle Routing and Overnight Charging Scheduling Problem on a Multigraph,INFORMS IJOC,DOI: 10.1287/ijoc.2023.0404,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
learninggvf2024,,2024,Learning Generalized Linear Programming Value Functions,NeurIPS 2024,,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,certified one-sided LP value surrogate
lemarechal2001,"Lemaréchal, C.",2001,Lagrangian Relaxation,"in Jünger & Naddef (eds.), Computational Combinatorial Optimization, LNCS 2241, Springer, pp. 112–156",,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,identifier unverified; no DOI observed
lfmtaxonomy2025,,2025,,Energy,10.1016/j.energy.2025.136051,abstract-level,domain-context,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,LFM design taxonomy; title not given
li2014,"Li, R., Wu, Q., Oren, S.S.",2014,Distribution Locational Marginal Pricing for Optimal Electric Vehicle Charging Management,IEEE Transactions on Power Systems 29(1):203–211,DOI: 10.1109/tpwrs.2013.2278952,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,canonical DLMP-for-EVs decentralization result
liu2017,"Liu, N. (et al.)",2017/2018,Distributed game-based pricing strategy for energy sharing in microgrid with PV prosumers,IET Renewable Power Generation,DOI: 10.1049/iet-rpg.2017.0570,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,archetypal Stackelberg internal pricing
liu2018,"Liu, Z., Wu, Q., Oren, S.S., Huang, S., Li, R., Cheng, L.",2018,Distribution Locational Marginal Pricing for Optimal Electric Vehicle Charging Through Chance Constrained Mixed-Integer Programming,IEEE Transactions on Smart Grid 9(2):644–654,DOI: 10.1109/tsg.2016.2559579,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,seen in citation lists
liu2023,"Liu, X., Liu, X.C., Xie, C., Ma, X.",2023,Impacts of photovoltaic and energy storage system adoption on public transport: A simulation-based optimization approach,"Renewable and Sustainable Energy Reviews 181, art. 113319",DOI: 10.1016/j.rser.2023.113319,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
liu2024,Liu et al.,2024,Contextual Bayesian optimization of congestion pricing with day-to-day dynamics,,10.1016/j.tra.2023.103927,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md,,baseline for active price experimentation
liu2024a,"Liu, X., Yeh, S., Plötz, P., Ma, W., Li, F., Ma, X.",2024,Electric bus charging scheduling problem considering charging infrastructure integrated with solar photovoltaic and energy storage systems,"Transportation Research Part E 187, art. 103572",DOI: 10.1016/j.tre.2024.103572,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
liu2024b,Liu et al.,2024,Transforming public transport depots into profitable energy hubs,Nature Energy 9:1206–1219,DOI: 10.1038/s41560-024-01580-0,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,companion big-data work
liu2025,"Liu, Yin",2025,"End-to-End Learning of User Equilibrium: Expressivity, Generalization, and Optimization",,10.1287/trsc.2023.0489,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md;READING_QUEUE.md,,priority PDF request; learned user equilibrium
locational-lem-uncertainty2025,,2025,Exposing a locational energy market to uncertainty,IJEPES,DOI: 10.1016/j.ijepes.2025.111285,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
loopblocks2023,,2023/24,,TPWRS 39(1),,abstract-level,domain-context,EXTERNAL_DEEP_DIVE_20260814.md,,loop blocks for storage; same group; title not given
lu2021,"Zhilin Lu, Mingbo Liu, Chong Tang, and Wentian Lu",2021,Operational scheduling of intercity passenger transportation company participating in energy and reserve markets,International Journal of Electrical Power & Energy Systems 125,10.1016/j.ijepes.2020.106541,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md;EXTERNAL_DEEP_DIVE_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,4.pdf;134.pdf;S0142061520313685.html,major novelty threat; closest price-making transport precedent
luan2026,Luan et al.,2026,Statistical regression-powered optimization methods for path-based congestion pricing at scale,,10.1016/j.trc.2025.105414,abstract-level,core-threat,HANDOFF_PRICE_MAKER_20260814.md,,closest precedent to learned price-to-route response
lubbecke2005,"Lübbecke, M. & Desrosiers, J.",2005,Selected Topics in Column Generation,Operations Research,Optimization Online 2002/580,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,journal DOI not observed
luke2025,"Luke, J., de Castro Ribeiro, M.G., Martin, S., Balogun, E., Cezar, G., Pavone, M., Rajagopal, R.",2025,Optimal coordination of electric buses and battery storage for achieving a 24/7 carbon-free electrified fleet,"Applied Energy 377, art. 124506",SSRN preprint DOI: 10.2139/ssrn.4815427,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,journal DOI unverified
ma2013,"Ma, Z., Callaway, D.S. & Hiskens, I.A.",2013,Decentralized Charging Control of Large Populations of Plug-in Electric Vehicles,IEEE Transactions on Control Systems Technology 21(1):67–78,10.1109/tcst.2011.2174059,abstract-level,core-threat,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,,oscillation/damping canon; title not given
ma2016,"Ma, Z., Zou, S., Ran, L., Shi, X. & Hiskens, I.A.",2016,Efficient decentralized coordination of large-scale plug-in electric vehicle charging,Automatica 69:35–47,,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,identifier unverified; Wentges-like smoothing
mahmoud2025,"Mahmoud, M. et al.",2025,A Robust Optimization Approach for E-Bus Charging and Discharging Scheduling with Vehicle-to-Grid Integration,Mathematics 13(9):1380,DOI: 10.3390/math13091380,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,attribution uncertain
maiti1973,Maiti & Sengupta,1973,,,DOI: 10.1287/mnsc.19.12.1459,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,dissenting note; named by DOI only
major-minor-mfg-ev2025,,2025,Optimal Charging Control for Electric Vehicle Fleet Incorporating Energy Storage System Using Major-Minor Mean Field Game Theory,IEEE ETFG 2025,DOI: 10.1109/etfg61999.2025.11401252,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,author list not captured
manzolli2022,"Manzolli, J.A., Trovão, J.P.F., Antunes, C.H.",2022,Electric bus coordinated charging strategy considering V2G and battery degradation,"Energy 254, art. 124252",DOI: 10.1016/j.energy.2022.124252,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,V2G profitability threshold circa 100 EUR/kWh
manzolli2024,"Manzolli, J.A., et al.",2024,Aggregator-supported strategy for electric bus fleet charging: A hierarchical optimisation approach,"Energy, art. 132497",10.1016/j.energy.2024.132497,abstract-level,core-threat,READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,aggregator-supported e-bus charging strategy
mao2021,Mao et al.,2021,Optimal scheduling for seaport integrated energy system considering flexible berth allocation,Applied Energy 308:118386,DOI: 10.1016/j.apenergy.2021.118386,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,
market-mechanisms-microgrid-review2023,,2023,Market Mechanisms and Trading in Microgrid Local Electricity Markets: A Comprehensive Review,Energies 16(5):2145,DOI: 10.3390/en16052145,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
marsten1975,"Marsten, R.E., Hogan, W.W. & Blankenship, J.W.",1975,The Boxstep Method for Large-Scale Optimization,Operations Research 23(3):389–405,DOI: 10.1287/opre.23.3.389,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,first trust-region stabilization
mavronicolas2007,"Mavronicolas, M., et al.",2007,Congestion Games with Player-Specific Constants,MFCS 2007,,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; no DOI observed
mcts-imbalance-prices,,,Predicting and Publishing Accurate Imbalance Prices Using Monte Carlo Tree Search,arXiv,arXiv:2411.04011,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors and year not captured
merchant-storage-investment,,,Merchant Storage Investment in a Restructured Electricity Industry,The Energy Journal,DOI: 10.5547/01956574.40.4.asid,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors and year not captured
mess-marginal-value2023,,2023,Mobile Energy Storage in Power Network: Marginal Value and Optimal Operation,arXiv,DOI: 10.48550/arxiv.2303.09704,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
microgrid-nodal-pricing,,,Stochastic Energy Management of Microgrid with Nodal Pricing,Journal of Modern Power Systems and Clean Energy,DOI: 10.35833/mpce.2018.000519,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors and year not captured
milan-v2g2023,,2023,,IEEE Access,DOI: 10.1109/access.2023.3279713,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,Milan V2G feasibility; title not captured
military-microgrid-pv-ess2025,,2025,Optimal Allocation of Solar PV Generation and Energy Storage Systems in a Military Microgrid including V2G Operation,IEEE SEFET 2025,DOI: 10.1109/sefet65155.2025.11255576,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
